pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0165053,NSYZCCDSJNWWJL-UHFFFAOYSA-N,Eryped,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,mic_confirmado,False,18.18,,False,True,,,,4.2564,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164683,NPIJXCQZLFKBMV-TZJMVAHLSA-L,Pancuronium dibromide,CC(=O)OC1C(C[C@H]2C3CC[C@H]4C[C@H](OC(=O)C)C(CC4(C)[C@H]3CCC12C)[N+]5(C)CCCCC5)[N+]6(C)CCCCC6.[Br-].[Br-],solo_cribado,False,10.46,,False,False,,,,4.252,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164922,LWQQLNNNIPYSNX-UROSTWAQSA-N,Calcipotriol,C[C@H](\C=C\[C@@H](O)C1CC1)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,solo_cribado,False,16.21,,False,False,,,,4.2502,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164618,PAANKGSMSCGEOJ-VMKOJIKDSA-N,Formoterol fumarate dihydrate,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1.O.O.OC(=O)/C=C/C(=O)O,solo_cribado,False,16.2,,False,False,,,,4.2502,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164959,OHHDIOKRWWOXMT-UHFFFAOYSA-N,Trazodone hydrochloride,Clc1cccc(c1)N1CCN(CCCn2nc3ccccn3c2=O)CC1.Cl,solo_cribado,False,4.82,,False,False,,,,4.2485,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164667,OBWGMKKHCLHVIE-UHFFFAOYSA-N,Fluperlapine,CN1CCN(CC1)C1=Nc2cc(F)ccc2Cc2ccccc12,solo_cribado,False,11.17,,False,False,,,,4.2477,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164776,RVFUNJWWXKCWNS-UHFFFAOYSA-N,Metoclopramide hydrochloride,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC.Cl,solo_cribado,False,10.19,,False,False,,,,4.2462,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164771,FSVJFNAIGNNGKK-UHFFFAOYSA-N,Praziquantel,O=C(C1CCCCC1)N1CC2N(CCc3ccccc23)C(=O)C1,solo_cribado,False,12.45,,False,False,,,,4.2421,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164929,RWTWIZDKEIWLKQ-YPYJQMNVSA-N,Dextrorphan D-tartrate,CN1CC[C@]23CCCC[C@@H]3[C@@H]1Cc4ccc(O)cc42.OC(C(O)C(=O)O)C(=O)O,solo_cribado,False,17.43,,False,False,,,,4.2378,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164699,WDQPAMHFFCXSNU-BGABXYSRSA-N,Clofazimine,CC(C)\N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc2cc1Nc1ccc(Cl)cc1,mic_confirmado,False,4.07,,False,True,,,,4.2357,concordancia_negativa
